# time_slot,worker_cost,transmission_cost,total_explicit_cost
1,283.5592,0.0000,283.5592
2,283.5592,0.0000,283.5592
3,283.5592,0.0000,283.5592
4,283.5592,0.0000,283.5592
5,283.5592,0.0000,283.5592
6,283.5592,0.0000,283.5592
7,283.5592,0.0000,283.5592
8,283.5592,0.0000,283.5592
9,283.5592,0.0000,283.5592
10,283.5592,0.0000,283.5592
11,363.6374,0.0000,363.6374
12,363.6374,0.0000,363.6374
13,363.6374,0.0000,363.6374
14,363.6374,0.0000,363.6374
15,363.6374,0.0000,363.6374
16,363.6374,0.0000,363.6374
17,363.6374,0.0000,363.6374
18,363.6374,0.0000,363.6374
19,363.6374,0.0000,363.6374
20,363.6374,0.0000,363.6374
21,296.2805,0.0000,296.2805
22,296.2805,0.0000,296.2805
23,296.2805,0.0000,296.2805
24,296.2805,0.0000,296.2805
25,296.2805,0.0000,296.2805
26,296.2805,0.0000,296.2805
27,296.2805,0.0000,296.2805
28,296.2805,0.0000,296.2805
29,296.2805,691.5912,987.8717
30,296.2805,0.0000,296.2805
31,277.6241,0.0000,277.6241
32,277.6241,3036.5362,3314.1603
33,277.6241,0.0000,277.6241
34,277.6241,0.0000,277.6241
35,277.6241,0.0000,277.6241
36,277.6241,0.0000,277.6241
37,277.6241,0.0000,277.6241
38,277.6241,1061.3533,1338.9774
39,277.6241,0.0000,277.6241
40,277.6241,0.0000,277.6241
41,291.2258,4183.4348,4474.6605
42,291.2258,0.0000,291.2258
43,291.2258,0.0000,291.2258
44,291.2258,0.0000,291.2258
45,291.2258,0.0000,291.2258
46,291.2258,0.0000,291.2258
47,291.2258,0.0000,291.2258
48,291.2258,0.0000,291.2258
49,291.2258,526.0465,817.2723
50,291.2258,0.0000,291.2258
51,295.3703,13787.4359,14082.8061
52,295.3703,269.2967,564.6669
53,295.3703,0.0000,295.3703
54,295.3703,0.0000,295.3703
55,295.3703,0.0000,295.3703
56,295.3703,0.0000,295.3703
57,295.3703,0.0000,295.3703
58,295.3703,221.1075,516.4778
59,295.3703,0.0000,295.3703
60,295.3703,0.0000,295.3703
61,322.7163,3835.2513,4157.9676
62,322.7163,0.0000,322.7163
63,322.7163,0.0000,322.7163
64,322.7163,0.0000,322.7163
65,322.7163,0.0000,322.7163
66,322.7163,0.0000,322.7163
67,322.7163,0.0000,322.7163
68,322.7163,0.0000,322.7163
69,322.7163,0.0000,322.7163
70,322.7163,485.5784,808.2947
71,264.7947,4133.2435,4398.0382
72,264.7947,592.0540,856.8487
73,264.7947,0.0000,264.7947
74,264.7947,0.0000,264.7947
75,264.7947,0.0000,264.7947
76,264.7947,0.0000,264.7947
77,264.7947,0.0000,264.7947
78,264.7947,0.0000,264.7947
79,264.7947,0.0000,264.7947
80,264.7947,0.0000,264.7947
81,318.3009,0.0000,318.3009
82,318.3009,0.0000,318.3009
83,318.3009,0.0000,318.3009
84,318.3009,0.0000,318.3009
85,318.3009,0.0000,318.3009
86,318.3009,564.5071,882.8080
87,318.3009,245.0541,563.3549
88,318.3009,0.0000,318.3009
89,318.3009,0.0000,318.3009
90,318.3009,0.0000,318.3009
91,245.4617,0.0000,245.4617
92,245.4617,0.0000,245.4617
93,245.4617,0.0000,245.4617
94,245.4617,0.0000,245.4617
95,245.4617,0.0000,245.4617
96,245.4617,0.0000,245.4617
97,245.4617,0.0000,245.4617
98,245.4617,262.0180,507.4797
99,245.4617,389.2791,634.7408
100,245.4617,0.0000,245.4617
